idea,votes,url,time
某家公司天天吃老本，自己的员工创新能力=0，技术水平因为hack毫无积累，都要打算在whatsup上做广告了。等到那一天，也就是这家吃用户老本的公司到顶并且下滑倒闭之日。,32,//www.zhihu.com/pin/1008250823796748288,2018-08-01 19:22
举报的好素材。,17,//www.zhihu.com/pin/1008242666953359360,2018-08-01 18:49
天津日报社：建议大家all in 特斯拉,19,//www.zhihu.com/pin/1008239503089254400,2018-08-01 18:37
每次都需要美国人来帮中国人纠正错误。这是文化问题吗？东方文化的糟粕怎么这么难清除？,24,//www.zhihu.com/pin/1008183460900601856,2018-08-01 14:54
不好意思，广大群众对不劳而获，翘课逃班，天上掉馅饼，地上捡钱，彩票中奖，偷窥女明星也有需求。黄峥老板你也去做啊。我相信腾讯会支持你的,26,//www.zhihu.com/pin/1008182936331386880,2018-08-01 14:52
解决房地产隐患的方法很简单：修改儒家思想，提倡结婚不买房，生孩不买房，结婚不生孩。一下就解决了表面上是经济问题，实际上是文化问题。以及中国人靠买房宁可离婚和花掉3代人的积蓄，也要去赚那个小便宜的问题。买不如租，这是亘古不变的经济学常识。,27,//www.zhihu.com/pin/1008178622997278720,2018-08-01 14:35
你叫啊,6,//www.zhihu.com/pin/1008174437606182912,2018-08-01 14:18
这想法挺自然的。毕竟衍射光可以帮你0延时完成傅立叶变换。但是制作这个衍射物的难度很大，且无法FP（现场编程）,8,//www.zhihu.com/pin/1008171425840058368,2018-08-01 14:06
pdd上最贵的东西是什么？,21,//www.zhihu.com/pin/1008045950186684416,2018-08-01 05:48
早餐吃什么减肥？,12,//www.zhihu.com/pin/1008041421382823936,2018-08-01 05:30
被爽约所以就纵容假货报复？果然是浙大毕业的。,80,//www.zhihu.com/pin/1007951813944963072,2018-07-31 23:33
你帮我查封吧,13,//www.zhihu.com/pin/1007949597339086848,2018-07-31 23:25
建议抄送校友黄峥,28,//www.zhihu.com/pin/1007949365821947904,2018-07-31 23:24
