idea,votes,url,time
难道不是因为从小徒手写红黑树？,34,//www.zhihu.com/pin/909515931940753408,2017-11-02 08:24
我庄严建议：cs学生去学山东大学区块链专业。该专业改变世界,61,//www.zhihu.com/pin/909509108370227200,2017-11-02 07:57
建议大家30万美金all in Baba,46,//www.zhihu.com/pin/909497874530885632,2017-11-02 07:13
立党家到底要有多少钱，买了多少礼物才把灰色小熊从清华大学骗来德州念书？,94,//www.zhihu.com/pin/909443159999639552,2017-11-02 03:35
我郑重预言：2017年是musk牛皮吹破的时候在别人把他比作钢铁侠的时候他不予澄清在别人把他的自动驾驶模糊成lvl5的时候他不予置评这和童哲乐于别人把他的学历，股票单位混淆，有异曲同工之妙如今，tesla的泡沫终于破灭了。model3是造不出来的，用户满意度还不如volt。我预言，musk的特斯拉一年内资不抵债，将被微软高调收购,82,//www.zhihu.com/pin/909391378707673088,2017-11-02 00:10
大家好昨日迅雷大涨特斯拉大跌如果你按照我的建议现在都能在德州买一套房了或者买2台iphone X了一台给你女朋友一台给你丈母娘跨进上海内环线实现新的小跃迁不谢,85,//www.zhihu.com/pin/909381499557281792,2017-11-01 23:30
按照知乎的收入水平，多少人会买iphone X？（ps：我买不起）,48,//www.zhihu.com/pin/909190989697445888,2017-11-01 10:53
必然大跌。不跌我直播,27,//www.zhihu.com/pin/909187482806349824,2017-11-01 10:39
这是钦定了四线城市，世世代代永永远远一辈子四线吗,74,//www.zhihu.com/pin/909063437611446272,2017-11-01 02:26
真诚求问,16,//www.zhihu.com/pin/909023824009162752,2017-10-31 23:49
立党你麻烦大了,63,//www.zhihu.com/pin/908844845046083584,2017-10-31 11:58
立党和我,77,//www.zhihu.com/pin/908827637800529920,2017-10-31 10:49
我最爱看的成人电视连续剧,46,//www.zhihu.com/pin/908826752529780736,2017-10-31 10:46
如何评价apple iphone X并不会在你睡觉的时候被人恶意面部识别解锁，和微软某人脸识别全球专利拥有者的预言不同？是因为这位专利拥有者不再是教授的老师了吗？,35,//www.zhihu.com/pin/908809791808700416,2017-10-31 09:38
迅雷：人类共同的选择。 不谢,46,//www.zhihu.com/pin/908774068011225088,2017-10-31 07:17
这得是找失败人士聊天。找成功人士聊天的话，你只会更痛苦。。,55,//www.zhihu.com/pin/908694083199954944,2017-10-31 01:59
哪个好吃？,46,//www.zhihu.com/pin/908680969003773952,2017-10-31 01:07
四线城市的人这辈子该如何摆脱方言，低收入，庸俗的思维，低质的教育，狐朋狗友，和鱼粉的束缚？,78,//www.zhihu.com/pin/908658202707521536,2017-10-30 23:36
投资建议： all in 苹果赚米粉钱,18,//www.zhihu.com/pin/908655149874987008,2017-10-30 23:24
双职工家庭如何才能和北上广深的富贵子弟结婚？,18,//www.zhihu.com/pin/908653646472818688,2017-10-30 23:18
"11月投资建议：all in baba, nvda，迅雷。做空bidu，sohu，amd等垃圾股",34,//www.zhihu.com/pin/908649159561621504,2017-10-30 23:00
迅雷：建议all in。,20,//www.zhihu.com/pin/908635196556808192,2017-10-30 22:05
tsla已经被抛弃。,23,//www.zhihu.com/pin/908463011330338816,2017-10-30 10:41
amd真是走出了情操，走出了风格，走出了半导体行业的一股清风,31,//www.zhihu.com/pin/908457743854936064,2017-10-30 10:20
难得的聚首 （来自热心读者投稿）,101,//www.zhihu.com/pin/908376078428024832,2017-10-30 04:55
中国大陆的基础设施建设比美国好10204倍。真不知道这些奶妈奶爸们为什么还要留在美国。还不如在郴州吃鱼粉,62,//www.zhihu.com/pin/908351114274492416,2017-10-30 03:16
轮子哥弟弟硬吃家乡潮汕牛肉火锅,63,//www.zhihu.com/pin/908327132556988416,2017-10-30 01:41
广州腾讯工业园偶遇轮子哥弟弟,73,//www.zhihu.com/pin/908313947120594944,2017-10-30 00:48
