idea,votes,url,time
 你就是我，你和我一样丑,33,//www.zhihu.com/pin/929023066513059840,2017-12-26 03:19
你是肚子肥的不想给我玩了吧,39,//www.zhihu.com/pin/929012183275646976,2017-12-26 02:36
唯一的圣诞礼物,48,//www.zhihu.com/pin/928907637849120768,2017-12-25 19:40
真希望每天都是圣诞节,42,//www.zhihu.com/pin/928890443559890944,2017-12-25 18:32
这个社会，只要努力就能成功吗？,39,//www.zhihu.com/pin/928886512712683520,2017-12-25 18:16
何忆安和“黄程蕊”[1]，你们两就是真正的零。好好去研究共产主义和比特币挖矿吧。不要蹭勃学热点兴风作浪收割大家的情感。谢谢[1] 经查均为假名,43,//www.zhihu.com/pin/928857055843086336,2017-12-25 16:19
不要通过构陷我“被人责备”而蹭热点。。。我今早上醒来看到你的这个状态真是一头雾水。简直比周星驰从地上抓起来的小强还要冤。你的目的是什么我不清楚，但请你1）不要利用我的名义2）不要构陷我。这个世界除了何忆安，还有谁每天把退勃说的和入勃一样？他可能是走火入魔了吧。勃学不是基督教，不能安抚每一个受伤的心。你请他自己好好疗伤，不要在知乎上到处发疯。我甚至都不知道他什么时候加了勃学，就自封退勃大使了？所有人退勃都要经过他的封赐？。。。真的搞笑吧。,58,//www.zhihu.com/pin/928855218037506048,2017-12-25 16:12
还是转发我的想法吧。何忆安从始至终就是邪门左道，一直在玩角色扮演。什么时候轮到他来说倒没倒？何忆安，请问我评价过你们家的私事吗？我每天都角色扮演说是被你妈抛弃的前夫，在你家门前表演吸引邻居的注意力？你大概1年前退勃，那是你自己的事。在这之前我们甚至不知道你入了勃。退勃之后你专业蹭勃学热点，目的何在？是为了让更多的人投奔向你？你错了。勃学从来都不是什么颜学，古学那样的帮派。即便世界上只有一个人“信仰”勃学，勃学也永存人间。因为”失败”，是不以人的主观意志为转移的。失败，早就存在于地球，也久存于地球灭亡后。就算你不信勃学，你根植于骨髓的失败，也会让你在每天太阳落下时在浅色床单上痛哭。只要还有这一刻，你就和失败学脱不了干系了。而不是你退不退勃能决定的。,41,//www.zhihu.com/pin/928854007016071168,2017-12-25 16:07
LA老实人和何忆安的戏份怎么这么多？他们两个人，1个完全用假名，自称USTC毕业UIUC读phd，结果查无此人查不到paper，每天用自己几千万的矿机和几千个btc在网络上招摇撞骗，虽然从他的口气上看，似乎真的有这么多钱何忆安呢，把自己打扮成勃学wenge受害者的样子，在几乎所有勃学问题下玩角色扮演。勃学欢迎一切失败人士，您角色扮演是您的兴趣。但您玩角色扮演玩到慕容复那样，还让不明真相的群众以为你是勃学核心人物，那就，不大好了吧。何忆安我是从没见过，也和徐白左江没有任何关系，我以前以为是江老师女朋友，后来发现是假的；LA老实人自称“黄程蕊”，结果全国公安机关都查无此人。大家仔细分辨。2018年，我们会坚定不移，继续推进失败学理论发展的。谢谢大家,77,//www.zhihu.com/pin/928851335840006144,2017-12-25 15:56
虽然这样的诱导想法应该被算法屏蔽，考虑到知乎的工程水平，我也忍了国际包邮吗,38,//www.zhihu.com/pin/928645841489657856,2017-12-25 02:20
